Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
3908.51 3908.48 25585.24 90 "" "" "" "60.457782    -   63.629966" "2s2.2p3.(2D*).4d | 3F*  | 3" "2s2.2p3.(2D*).5f | 1G   | 4" "" "" L10704
3967.24 3967.27 25206.4 160 200000000.0 0.61 D "60.498520    -   63.623694" "2s2.2p3.(2D*).4d | 3G*  | 3" "2s2.2p3.(2D*).5f | 3H   | 4" "" T8046 L10704
3973.91 3973.92 25164.11 90 32000000.0 0.076 D "60.510021    -   63.629966" "2s2.2p3.(2D*).4d | 1G*  | 4" "2s2.2p3.(2D*).5f | 1G   | 4" "" T8046 L10704
3976.01 3975.99 25150.8 200 "" "" "" "60.510021    -   63.628343" "2s2.2p3.(2D*).4d | 1G*  | 4" "2s2.2p3.(2D*).5f | 1H   | 5" "" "" L10704
3982.83 3982.82 25107.78 140 "" "" "" "60.510021    -   63.622994" "2s2.2p3.(2D*).4d | 1G*  | 4" "2s2.2p3.(2D*).5f | 3G   | 5" "" "" L10704
3985.09 3985.08 25093.5 180 "" "" "" "60.510021    -   63.62123" "2s2.2p3.(2D*).4d | 1G*  | 4" "2s2.2p3.(2D*).5f | 3H   | 5" "" "" L10704
4068.5 4068.485 24579.08 70 110000.0 0.00027 C "46.430781    -   49.478211" "2s2.2p3.(2P*).3s | 3P*  | 1" "2s2.2p3.(2D*).3p | 3P   | 1" "" c52 L10704
4085.57 4085.536 24476.39 70 230000.0 0.00058 C "46.431595    -   49.466305" "2s2.2p3.(2P*).3s | 3P*  | 2" "2s2.2p3.(2D*).3p | 3P   | 2" "" c52 L10704
4118.1 4118.038 24283.02 30 "" "" "" "54.500112    -   57.510871" "2s2.2p3.(2D*).3d | 3P*  | 2" "2s2.2p3.(4S*).5p | 3P   | 2" "" "" L10704
4139.5 4139.51 24157.5 50l 14000000.0 0.036 D "58.751576    -   61.746720" "2s2.2p3.(2D*).4p | 3P   | 2" "2s2.2p3.(2D*).5s | 3D*  | 2" "" T8046 L10704
4144.05 4144.04 24131.0 160 56000000.0 0.2 D "58.751576    -   61.743441" "2s2.2p3.(2D*).4p | 3P   | 2" "2s2.2p3.(2D*).5s | 3D*  | 3" "" T8046 L10704
4148.14 4148.13 24107.2 50l 23000000.0 0.059 D "58.760141    -   61.749058" "2s2.2p3.(2D*).4p | 3P   | 1" "2s2.2p3.(2D*).5s | 3D*  | 1" "" T8046 L10704
4151.36 4151.38 24088.5 90 41000000.0 0.18 D "58.760141    -   61.746720" "2s2.2p3.(2D*).4p | 3P   | 1" "2s2.2p3.(2D*).5s | 3D*  | 2" "" T8046 L10704
4153.45 4153.49 24076.3 50 30000000.0 0.23 D "58.764000    -   61.749058" "2s2.2p3.(2D*).4p | 3P   | 0" "2s2.2p3.(2D*).5s | 3D*  | 1" "" T8046 L10704
4199.79 4199.79 23810.7 30 "" "" "" "54.559442    -   57.511595" "2s2.2p3.(2D*).3d | 3S*  | 1" "2s2.2p3.(4S*).5p | 3P   | 1" "" "" L10704
4200.77 4200.82 23805.1 90 "" "" "" "55.572577    -   58.524006" "2s2.2p3.(4S*).4d | 3D*  | 1" "2s2.2p3.(2D*).4p | 3F   | 2" "" "" L10704
4204.1 4204.11 23786.3 90 "" "" "" "55.573916    -   58.523031" "2s2.2p3.(4S*).4d | 3D*  | 2" "2s2.2p3.(2D*).4p | 3F   | 3" "" "" L10704
4208.51 4208.535 23761.4 120 "" "" "" "55.576150    -   58.522168" "2s2.2p3.(4S*).4d | 3D*  | 3" "2s2.2p3.(2D*).4p | 3F   | 4" "" "" L10704
4225.26 4225.26 23667.17 200 170000000.0 0.76 D "55.572577    -   58.506933" "2s2.2p3.(4S*).4d | 3D*  | 1" "2s2.2p3.(4S*).5f | 3F   | 2" "" T8046 L10704
4227.25 4227.2 23656.0 240l 180000000.0 0.68 D "55.573916    -   58.506927" "2s2.2p3.(4S*).4d | 3D*  | 2" "2s2.2p3.(4S*).5f | 3F   | 3" "" T8046 L10704
4230.54 4230.51 23637.65 300 200000000.0 0.69 D "55.576150    -   58.506867" "2s2.2p3.(4S*).4d | 3D*  | 3" "2s2.2p3.(4S*).5f | 3F   | 4" "" T8046 L10704
4263.18 4263.19 23456.7 240l 160000000.0 0.26 D "53.8495312   -   56.757784" "2s2.2p3.(4S*).4p | 3P   | 2" "2s2.2p3.(4S*).5s | 3S*  | 1" "" T8046 L10704
4266.42 4266.42 23438.8 200l 93000000.0 0.25 D "53.851739    -   56.757784" "2s2.2p3.(4S*).4p | 3P   | 1" "2s2.2p3.(4S*).5s | 3S*  | 1" "" T8046 L10704
4269.25 4269.25 23423.3 160l 31000000.0 0.25 D "53.853664    -   56.757784" "2s2.2p3.(4S*).4p | 3P   | 0" "2s2.2p3.(4S*).5s | 3S*  | 1" "" T8046 L10704
4454.04 4453.96 22451.5 2000 34000000.0 0.12 D "55.737363+x  -   58.52105+x" "2s2.2p3.(4S*).4f | 5F   | 5" "2s2.2p3.(4S*).5g | 5G*  | 6" "" T8046 L10704
4454.04 4454.0 22451.5 2000 310000000.0 1.1 D "55.737393+x  -   58.52105+x" "2s2.2p3.(4S*).4f | 5F   | 4" "2s2.2p3.(4S*).5g | 5G*  | 5" "" T8046 L10704
4454.04 4454.08 22451.5 2000 280000000.0 1.1 D "55.737440+x  -   58.52105+x" "2s2.2p3.(4S*).4f | 5F   | 3" "2s2.2p3.(4S*).5g | 5G*  | 4" "" T8046 L10704
4454.04 4454.1 22451.5 2000 "" "" "" "55.73746+x   -   58.52105+x" "2s2.2p3.(4S*).4f | 5F   | 1" "2s2.2p3.(4S*).5g | 5G*  | 2" "" "" L10704
4454.04 4454.12 22451.5 2000 260000000.0 1.1 D "55.73747+x   -   58.52105+x" "2s2.2p3.(4S*).4f | 5F   | 2" "2s2.2p3.(4S*).5g | 5G*  | 3" "" T8046 L10704
4460.014 4460.014 22421.452 500 340000000.0 1.2 D "55.741178    -   58.521085" "2s2.2p3.(4S*).4f | 3F   | 4" "2s2.2p3.(4S*).5g | 3G*  | 5" "" T8046 L10704
4460.113 4460.112 22420.954 400 320000000.0 1.2 D "55.741247    -   58.521092" "2s2.2p3.(4S*).4f | 3F   | 3" "2s2.2p3.(4S*).5g | 3G*  | 4" "" T8046 L10704
4460.19 4460.21 22420.58 300 310000000.0 1.3 D "55.741316    -   58.521102" "2s2.2p3.(4S*).4f | 3F   | 2" "2s2.2p3.(4S*).5g | 3G*  | 3" "" T8046 L10704
4461.79 4461.72 22412.5 1000 "" "" "" "60.855486    -   63.634332" "2s2.2p3.(2D*).4f | 3H   | 5" "2s2.2p3.(2D*).5g | 3I*  | 6" "" "" L10704
4461.79 4461.91 22412.5 1000 340000000.0 1.2 D "60.855604    -   63.634332" "2s2.2p3.(2D*).4f | 3H   | 6" "2s2.2p3.(2D*).5g | 3I*  | 7" "" T8046 L10704
4461.79 4461.98 22412.5 1000 "" "" "" "60.855651    -   63.634332" "2s2.2p3.(2D*).4f | 1G   | 4" "2s2.2p3.(2D*).5g | 3I*  | 5" "" "" L10704
4472.29 4472.24 22359.9 70 270000000.0 0.99 D "60.862023    -   63.634332" "2s2.2p3.(2D*).4f | 3H   | 4" "2s2.2p3.(2D*).5g | 3I*  | 5" "" T8046 L10704
4630.17 4630.04 21597.5 20 5800000.0 0.014 D "55.741178    -   58.41900" "2s2.2p3.(4S*).4f | 3F   | 4" "2s2.2p3.(4S*).5d | 3D*  | 3" "" T8046 L10704
4630.17 4630.16 21597.5 20 500000.0 0.0016 D "55.741247    -   58.41900" "2s2.2p3.(4S*).4f | 3F   | 3" "2s2.2p3.(4S*).5d | 3D*  | 3" "" T8046 L10704
4630.17 4630.16 21597.5 20 5600000.0 0.013 D "55.741247    -   58.41900" "2s2.2p3.(4S*).4f | 3F   | 3" "2s2.2p3.(4S*).5d | 3D*  | 2" "" T8046 L10704
4630.17 4630.28 21597.5 20 700000.0 0.0022 D "55.741316    -   58.41900" "2s2.2p3.(4S*).4f | 3F   | 2" "2s2.2p3.(4S*).5d | 3D*  | 2" "" T8046 L10704
4795.12 4795.084 20854.5 120 "" "" "" "49.466305    -   52.051957" "2s2.2p3.(2D*).3p | 3P   | 2" "2s2.2p3.(4S*).4s | 3S*  | 1" "" "" L10704
4817.28 4817.265 20758.6 90 "" "" "" "49.478211    -   52.051957" "2s2.2p3.(2D*).3p | 3P   | 1" "2s2.2p3.(4S*).4s | 3S*  | 1" "" "" L10704
4843.85 4843.82 20644.7 120 8100000.0 0.023 D "55.737363+x  -   58.29700+x" "2s2.2p3.(4S*).4f | 5F   | 5" "2s2.2p3.(4S*).5d | 5D*  | 4" "" T8046 L10704
5144.23 5144.247 19439.23 160 "" "" "" "56.796602    -   59.206755" "2s2.2p3.(2P*).3d | 1D*  | 2" "2s2.2p3.(2D*).4p | 1D   | 2" "" "" L10704
"" 6208.21 16107.7 0m 55000000.0 0.25 D "55.34346+x   -   57.340559+x" "2s2.2p3.(4S*).4d | 5D*  | 4" "2s2.2p3.(4S*).5p | 5P   | 3" "" T8046 L10704
6210.8 6210.79 16100.98 70 40000000.0 0.17 D "55.343537+x  -   57.339807+x" "2s2.2p3.(4S*).4d | 5D*  | 3" "2s2.2p3.(4S*).5p | 5P   | 2" "" T8046 L10704
6211.9 6211.91 16098.14 70 25000000.0 0.087 D "55.343468+x  -   57.339380+x" "2s2.2p3.(4S*).4d | 5D*  | 2" "2s2.2p3.(4S*).5p | 5P   | 1" "" T8046 L10704
6279.24 6279.23 15925.51 30 110000000.0 0.91 D "58.524006    -   60.498520" "2s2.2p3.(2D*).4p | 3F   | 2" "2s2.2p3.(2D*).4d | 3G*  | 3" "" T8046 L10704
6285.32 6285.32 15910.09 30 110000000.0 0.84 D "58.523031    -   60.495631" "2s2.2p3.(2D*).4p | 3F   | 3" "2s2.2p3.(2D*).4d | 3G*  | 4" "" T8046 L10704
6291.33 6291.32 15894.9 30 120000000.0 0.87 D "58.522168    -   60.492887" "2s2.2p3.(2D*).4p | 3F   | 4" "2s2.2p3.(2D*).4d | 3G*  | 5" "" T8046 L10704
6408.35 6408.37 15604.63 90 56000000.0 0.25 D "55.576150    -   57.510871" "2s2.2p3.(4S*).4d | 3D*  | 3" "2s2.2p3.(4S*).5p | 3P   | 2" "" T8046 L10704
6888.84 6888.85 14516.24 70 60000000.0 0.43 D "52.051957    -   53.851739" "2s2.2p3.(4S*).4s | 3S*  | 1" "2s2.2p3.(4S*).4p | 3P   | 1" "" T8046 L10704
6897.31 6897.31 14498.4 100 60000000.0 0.71 D "52.051957    -   53.8495312" "2s2.2p3.(4S*).4s | 3S*  | 1" "2s2.2p3.(4S*).4p | 3P   | 2" "" T8046 L10704
